編號,週次,階段,課程地位,講題名稱,講師,核心目標,核心內容,基礎任務,進階任務
1,5月 Week 1,藍圖與目標,成長節奏 1,開學典禮 ＆ 遠距遊牧概論,校長哈利,月初第一堂，大家對齊期待；釐清「上班線／接案線／雙軌」差異。,"認識遠距／接案／自媒體／雙軌的差異與常見路徑；釐清你現在的限制條件、可用資源與可行策略；設定本梯的學習節奏與社群參與方式",寫下你的「遠距目標一句話」＋目前最大卡點,
2,5月 Week 2,藍圖與目標,路線必修 – 接案線 1,接案變現地圖 & 目標設定,西打藍,把「想接案／想做內容」變成可走的變現地圖與 90 天目標。,"盤點你可行的收入來源（不只接案：也包含多種商業可能）；定義你「提供什麼價值」與「適合誰」的清晰版本；把目標拆成可追蹤的指標＋每週固定節奏",列出可能性與優先順序，並設定成果指標,
3,5月 Week 3,藍圖與目標,路線必修 – 上班線 1,遠端上班職涯藍圖 & 目標設定,喬,把「想找遠端工作」變成職涯藍圖：目標職位＋90 天可落地計畫。,"全局認識：深入了解遠距市場與高需求職位類型；安全防線：識破常見求職詐騙陷阱，掌握標準的跨國應徵流程；精準定位：完成個人適配度評估，設定具體求職目標",填寫遠距目標設定表：目標職位、偏好時區、合作模式,註冊 LinkedIn，尋找一位同領域前輩（Role Model）觀摩，並分析其 Profile 吸引人的 3 個關鍵字
4,6月 Week 1,定位與門面,共同必修 1,可持續的自由：身心靈平衡的遠距人生 SOP,Angela Feng,把行動變成固定節奏：週／月／季，整理「學院結束後，我的生活怎麼繼續跑」。,"了解自己的運作方式：什麼情況下能穩定產出；建立可複製的生活／工作節奏；為學院之後做準備",寫出你的「人生系統說明書」簡版；設計每週 SOP,
5,6月 Week 2,定位與門面,路線必修 – 接案線 2,定位、方案定價 Offer,老 K,把定位收斂、Offer 做清楚：讓陌生客戶快速理解並信任你的價值。,"把「我想做很多」收斂成「我現在先做這一塊」；用輕量市場調查校準定位與價格想像；讓你的服務變得可被選擇",完善你的接案 Offer 架構；完成一次市場觀察與調查,
6,6月 Week 3,定位與門面,路線必修 – 上班線 2,Linkedin 經營全攻略,謝雅筑 Ally,把 LinkedIn 變成你的機會入口：被看見、被信任、被邀請。,"能力轉譯：盤點個人經歷，將實體協作經驗轉化為「遠距協作證據」；關鍵字對焦：學習 JD 拆解術，抓出核心需求並精準對應至個人履歷；數位門面：掌握 LinkedIn 搜尋引擎邏輯 (SEO)，優化檔案以提升被搜到的機率",寫一行遠距版 LinkedIn Headline（職稱｜專長｜關鍵字，30 字以內）,完成一份「成果導向」履歷初稿，並同步更新 LinkedIn 個人檔案核心欄位
7,7月 Week 1,機會與轉化,共同必修 2,讓 AI 成為你的實習生：從對話到自動化的第一個流程,林上哲,用 AI + 自動化把日常工作變輕：做出你的第一個可運作流程。,"什麼工作適合交給 AI／什麼仍要自己做；把「想法」變成「可執行流程」；以最小可用成果（MVP）為導向",做出 1 個「能實際跑起來」的自動化流程；寫下你的「AI 使用規則」,
8,7月 Week 2,機會與轉化,路線必修 – 接案線 3,社群獲客漏斗＆內容,三分鐘 Lynn,不靠靈感硬撐，把內容產出變成可持續流程，用 AI 幫忙企劃、標題、開頭。,"讓內容與變現連得起來：每篇內容都朝同一個目標前進；不靠靈感硬撐，把內容產出變成可持續流程；用 AI 輔助內容企劃、標題、開頭等",產出具體內容策略與第一步產出,
9,7月 Week 3,機會與轉化,路線必修 – 上班線 3,履歷、求職信秘笈、面試談薪,講師確認中,讓履歷「更像你」也「更像職缺要的人」：延續 AI 課，馬上應用在履歷。,"主動出擊：掌握各大遠距平台投遞策略，建立高效的求職節奏與習慣；面試取勝：運用 STAR 架構破解遠距面試常見題型；合約解析：具備薪資談判能力，並能判斷 Offer 條款風險",撰寫「30 秒遠距自我介紹」（職能年資、遠距優勢、明確求職方向）,針對一則遠距面試情境題，運用 STAR 架構撰寫含數據的完整答案草稿
10,7月 Week 4,機會與轉化,共同必修 3,自媒體變現藍圖,工具王阿璋,把專業變成可販售的雛形：適用上班線＋接案線的商業化／知識變現技能。,"釐清你的專業能解決誰的什麼問題；把知識整理成可交付的產品雛形；建立一個「價值說法」",產出你的知識產品雛形,
11,8月 Week 2,永續,路線必修 – 接案線 4,接案的永續與合作,林佳 Zoe,讓接案不只是「有案做」而是「做得久」：可搭配短影音剪輯選修 Workshop。,"把接案從「等案」變「選案」：建立穩定的案源管道；讓你的收入結構多元化；可搭配短影音剪輯選修 Workshop",檢視目前的案源結構；建立可複用的接案流程 SOP,
12,8月 Week 3,永續,路線必修 – 上班線 4,留任策略 ＆ 溝通,Vivinee,用市場視角升級你的求職策略：可以繼續用 AI 課程教的 prompt 套用。,"思維轉型：理解「成果導向」底層邏輯，學會在不見面的情況下建立信任與高品質交付；數位協作：養成非同步溝通與工作文件化的專業習慣；永續經營：規劃長期的遠距職涯路徑，包含語言升級與數位足跡積累",撰寫一則專業的「非同步進度回報訊息」（背景、進度、阻礙、下一步）,運用 Notion 或 Google Doc 建立個人工作週記模板，並附上本週實際填寫結果
13,9月 Week 1,永續,共同必修 4,旅居財務課程,Demi,把自由變「可負擔」：建立你的旅居財務規劃與風險底線。,"旅居與遠距生活的財務視角；設定你的「可持續」財務目標；建立基本風險意識",盤點目前的月固定支出＋最低生活底線；設定 1 個 90 天財務目標；寫下你的風險規則 3 條,
